nom,prenom,date_naissance,genre
M'Doihoma,Juliana,1984-07-01,F
Macé,Gabriel,1906-06-01,M
Maillot,Hilaire,1936-08-07,M
Maillot,Pascal,,M
Malet,Patrick,1956-12-01,M
Mamindy-Pajany,Bruno,1965-01-14,M
Mareuil,Gabriel,,M
Mercher,Blainville,,M
Miranville,Vanessa,1983-07-26,F
Mondon,René,,M
Morange,Henri,,M
Moreau,David,1925-04-14,M
Moreau,Paul,1929-07-02,M
Moussa,Cassam,1938-12-11,M
Moussa Valy,Bachil,1962-01-09,M
Nassibou,Laïla,,F
Nativel,Armand,1917-01-31,M
Nativel,Edelbert,,M
Nirlo,Richard,1949-06-12,M
Olivier,Jules,1891-11-06,M
Papaya,Sidoleine,1977-01-01,F
Paris,Albert,1936-11-03,M
Pausé,Daniel,1953-05-20,M
Pausé,Yolande,1948-12-01,F
Payet,Adrien,,M
Payet,Antonin,,M
Payet,Ary,1923-02-21,M
Payet,Christophe,1940-01-10,M
Payet,Frantz Maurice,,M
Payet,Hervé,,M
Payet,Johnny,1965-08-01,M
Payet,Paul Dominique,,M
Payet,Paulet,1947-11-08,M
Payet,Roger,,M
Payet,Roland,1926-06-02,M
Payet,Yannick,,M
Pinna,José,1942-08-24,M
Piot,Hippolyte,,M
Piveteau,Camille,1850-04-21,M
Poirier,Raymond,1939-05-13,M
Poudroux,Jean-Luc,1950-08-29,M
Ramakistin,Roland,1959-10-05,M
Ramassamy,Jean,,M
Ramoune,Guito,1969-04-02,M
Ratinaud,Georges,,M
Repiquet,Georges,1912-04-15,M
Reydellet,Jules,,M
Rivière,Olivier,1979-04-06,M
Rivière de Chazalon,Antoine,,M
Robert,Didier,1964-04-26,M
Robert,Roland,1937-03-05,M
Robert,Thierry,1977-04-01,M
Roberto,Jean,,M
Rochetaing,Eugène,,M
Saint-Alme,Serge,1916-08-24,M
Saint-Lambert,Jean-Luc,1952-11-01,M
Salvan,Hugues,1951-04-16,M
Sauger,Dominique,,M
Selly,Patrice,1980-02-09,M
Serveaux,Roger,1911-04-11,M
Simonette,Théodore,,M
Sinimalé,Joseph,1943-06-20,M
Sitouze,Céline,1974-08-01,F
Séraphin,Emmanuel,1972-03-21,M
Tamaya,Michel,1944-12-19,M
Thien Ah Koon,André,1940-05-16,M
Thien Ah Koon,Patrice,1965-04-01,M
Tholozan,Daniel,1935-09-13,M
Técher,Appolidor,,M
Técher,Jacques,1964-03-01,M
Técher,Paul-Franco,1949-12-31,M
Vallon-Hoarau,Maxime,1898-04-30,M
Vergoz,Michel,1950-01-10,M
Vergès,Paul,1925-03-05,M
Vergès,Pierre,1958-03-25,M
Vergès,Raymond,1882-08-15,M
Victoria,René-Paul,1954-08-27,M
Vidot,Roger,,M
Virapoullé,Jean-Paul,1944-03-15,M
Véloupoulé,Gabriel,1910-11-21,M
Welmant,Jean-Claude,1934-05-29,M
Ycard,Léopold,1879-05-21,M
